gene,geneLabel,ensemble_symbol,protein,proteinLabel
http://www.wikidata.org/entity/Q17834261,ATP5PF,ENSG00000154723,http://www.wikidata.org/entity/Q21131462,ATP synthase peripheral stalk subunit F6
http://www.wikidata.org/entity/Q17834752,ATP6V1E1,ENSG00000131100,http://www.wikidata.org/entity/Q21126725,ATPase H+ transporting V1 subunit E1
http://www.wikidata.org/entity/Q17834752,ATP6V1E1,ENSG00000131100,http://www.wikidata.org/entity/Q21137019,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E isoform 1"
http://www.wikidata.org/entity/Q17834752,ATP6V1E1,ENSG00000131100,http://www.wikidata.org/entity/Q21150056,V-type proton ATPase subunit E 1
http://www.wikidata.org/entity/Q17847659,HCN2,ENSG00000099822,http://www.wikidata.org/entity/Q21115997,Hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
http://www.wikidata.org/entity/Q17850045,BNIP2,ENSG00000140299,http://www.wikidata.org/entity/Q21106708,BCL2 interacting protein 2
http://www.wikidata.org/entity/Q17850045,BNIP2,ENSG00000140299,http://www.wikidata.org/entity/Q21149696,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
http://www.wikidata.org/entity/Q17853510,ZFP36L2,ENSG00000152518,http://www.wikidata.org/entity/Q21122858,ZFP36 ring finger protein like 2
http://www.wikidata.org/entity/Q17854192,C8A,ENSG00000157131,http://www.wikidata.org/entity/Q21102473,Complement C8 alpha chain
http://www.wikidata.org/entity/Q17854201,C8B,ENSG00000021852,http://www.wikidata.org/entity/Q21102474,Complement C8 beta chain
http://www.wikidata.org/entity/Q17854281,DAGLA,ENSG00000134780,http://www.wikidata.org/entity/Q21102593,Diacylglycerol lipase alpha
http://www.wikidata.org/entity/Q17854398,TMEM50B,ENSG00000142188,http://www.wikidata.org/entity/Q21136285,Transmembrane protein 50B
http://www.wikidata.org/entity/Q17854780,CACNA1F,ENSG00000102001,http://www.wikidata.org/entity/Q21102124,Calcium voltage-gated channel subunit alpha1 F
http://www.wikidata.org/entity/Q17854780,CACNA1F,ENSG00000102001,http://www.wikidata.org/entity/Q21151846,Voltage-dependent L-type calcium channel subunit alpha-1F
http://www.wikidata.org/entity/Q17854816,CACNA1S,ENSG00000081248,http://www.wikidata.org/entity/Q21111803,Calcium voltage-gated channel subunit alpha1 S
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q22676983,Calmodulin-1
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591175,hsa-mir-4504
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591188,hsa-mir-7641-2
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591693,hsa-mir-320e
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591695,hsa-mir-3191
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591698,hsa-mir-150
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591707,hsa-let-7e
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591712,hsa-mir-512-1
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591721,hsa-mir-520f
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591722,hsa-mir-515-2
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591730,hsa-mir-523
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591736,hsa-mir-518c
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591737,hsa-mir-524
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591749,hsa-mir-518d
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591750,hsa-mir-516b-1
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591756,hsa-mir-522
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591759,hsa-mir-516a-1
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591762,hsa-mir-519a-2
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591764,hsa-mir-371b
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591795,hsa-mir-548ba
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591799,hsa-mir-217
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591806,hsa-mir-4433a
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q27591807,hsa-mir-4434
http://www.wikidata.org/entity/Q17855536,CALM2,ENSG00000143933,http://www.wikidata.org/entity/Q59706382,Calmodulin 1
http://www.wikidata.org/entity/Q17855794,CAPN2,ENSG00000162909,http://www.wikidata.org/entity/Q21115585,Calpain 2
http://www.wikidata.org/entity/Q17855822,CAPNS1,ENSG00000126247,http://www.wikidata.org/entity/Q21105302,Calpain small subunit 1
http://www.wikidata.org/entity/Q17855822,CAPNS1,ENSG00000126247,http://www.wikidata.org/entity/Q21139444,Calpain small subunit 1
http://www.wikidata.org/entity/Q17855895,CASP6,ENSG00000138794,http://www.wikidata.org/entity/Q21100551,Caspase 6
http://www.wikidata.org/entity/Q17855895,CASP6,ENSG00000138794,http://www.wikidata.org/entity/Q21146775,Caspase-6
http://www.wikidata.org/entity/Q17856017,CBFA2T3,ENSG00000129993,http://www.wikidata.org/entity/Q21120058,CBFA2/RUNX1 partner transcriptional co-repressor 3
http://www.wikidata.org/entity/Q17856017,CBFA2T3,ENSG00000129993,http://www.wikidata.org/entity/Q21139849,Protein CBFA2T3
http://www.wikidata.org/entity/Q17857100,CD1B,ENSG00000158485,http://www.wikidata.org/entity/Q21109523,CD1b molecule
http://www.wikidata.org/entity/Q17859534,ENTPD1,ENSG00000138185,http://www.wikidata.org/entity/Q21130607,Ectonucleoside triphosphate diphosphohydrolase 1
http://www.wikidata.org/entity/Q17859544,ENTPD2,ENSG00000054179,http://www.wikidata.org/entity/Q21130611,Ectonucleoside triphosphate diphosphohydrolase 2
http://www.wikidata.org/entity/Q17859635,CD40,ENSG00000101017,http://www.wikidata.org/entity/Q21135811,CD40 molecule
http://www.wikidata.org/entity/Q17859717,CDC5L,ENSG00000096401,http://www.wikidata.org/entity/Q21105377,Cell division cycle 5 like
http://www.wikidata.org/entity/Q17859871,CDH6,ENSG00000113361,http://www.wikidata.org/entity/Q21132150,Cadherin 6
http://www.wikidata.org/entity/Q17861522,CGB3,ENSG00000104827,http://www.wikidata.org/entity/Q21100708,Choriogonadotropin subunit beta
http://www.wikidata.org/entity/Q17861522,CGB3,ENSG00000104827,http://www.wikidata.org/entity/Q26217912,Chorionic gonadotropin subunit beta 5
http://www.wikidata.org/entity/Q17861547,CEACAM7,ENSG00000007306,http://www.wikidata.org/entity/Q21132938,CEA cell adhesion molecule 7
http://www.wikidata.org/entity/Q17861547,CEACAM7,ENSG00000007306,http://www.wikidata.org/entity/Q21136999,Carcinoembryonic antigen-related cell adhesion molecule 7
http://www.wikidata.org/entity/Q17861723,CHD4,ENSG00000111642,http://www.wikidata.org/entity/Q21115642,Chromodomain helicase DNA binding protein 4
http://www.wikidata.org/entity/Q17861971,CHRNA1,ENSG00000138435,http://www.wikidata.org/entity/Q21111162,Cholinergic receptor nicotinic alpha 1 subunit
http://www.wikidata.org/entity/Q17861982,CHRNB2,ENSG00000160716,http://www.wikidata.org/entity/Q21111171,Cholinergic receptor nicotinic beta 2 subunit
http://www.wikidata.org/entity/Q17861983,CHRNB3,ENSG00000147432,http://www.wikidata.org/entity/Q21111179,Cholinergic receptor nicotinic beta 3 subunit
http://www.wikidata.org/entity/Q17861998,CISH,ENSG00000114737,http://www.wikidata.org/entity/Q21111934,Cytokine inducible SH2 containing protein
http://www.wikidata.org/entity/Q17861999,TBCB,ENSG00000105254,http://www.wikidata.org/entity/Q21110320,Tubulin folding cofactor B
http://www.wikidata.org/entity/Q17862007,CKS2,ENSG00000123975,http://www.wikidata.org/entity/Q21131481,CDC28 protein kinase regulatory subunit 2
http://www.wikidata.org/entity/Q17907793,CLTC,ENSG00000141367,http://www.wikidata.org/entity/Q21109804,Clathrin heavy chain
http://www.wikidata.org/entity/Q17907793,CLTC,ENSG00000141367,http://www.wikidata.org/entity/Q21150462,Clathrin heavy chain 1
http://www.wikidata.org/entity/Q17908602,COPA,ENSG00000122218,http://www.wikidata.org/entity/Q21117294,Coatomer protein complex subunit alpha
http://www.wikidata.org/entity/Q17816656,ALDH1A1,ENSG00000165092,http://www.wikidata.org/entity/Q21101832,Aldehyde dehydrogenase 1 family member A1
http://www.wikidata.org/entity/Q17816656,ALDH1A1,ENSG00000165092,http://www.wikidata.org/entity/Q21151882,Retinal dehydrogenase 1
http://www.wikidata.org/entity/Q17825899,AMY1A,ENSG00000237763,http://www.wikidata.org/entity/Q306540,Amylase alpha 1C
http://www.wikidata.org/entity/Q17825949,AMY2A,ENSG00000243480,http://www.wikidata.org/entity/Q21173369,Amylase alpha 2A
http://www.wikidata.org/entity/Q17828456,ANXA4,ENSG00000196975,http://www.wikidata.org/entity/Q21130000,Annexin A4
http://www.wikidata.org/entity/Q17829092,APOF,ENSG00000175336,http://www.wikidata.org/entity/Q21130013,Apolipoprotein F
http://www.wikidata.org/entity/Q17829130,APBA2,ENSG00000276495,http://www.wikidata.org/entity/Q21111501,Amyloid beta precursor protein binding family A member 2
http://www.wikidata.org/entity/Q17829130,APBA2,ENSG00000276495,http://www.wikidata.org/entity/Q21117663,Amyloid beta A4 precursor protein-binding family A member 2
http://www.wikidata.org/entity/Q17831432,AQP7,ENSG00000165269,http://www.wikidata.org/entity/Q21106436,Aquaporin 7
http://www.wikidata.org/entity/Q17831995,ARL2,ENSG00000213465,http://www.wikidata.org/entity/Q21106466,ADP ribosylation factor like GTPase 2
http://www.wikidata.org/entity/Q17832866,ATOH1,ENSG00000172238,http://www.wikidata.org/entity/Q21106551,Atonal bHLH transcription factor 1
http://www.wikidata.org/entity/Q17854344,PTTG1IP,ENSG00000183255,http://www.wikidata.org/entity/Q21100813,PTTG1 interacting protein
http://www.wikidata.org/entity/Q17854398,TMEM50B,ENSG00000263160,http://www.wikidata.org/entity/Q21136285,Transmembrane protein 50B
http://www.wikidata.org/entity/Q17855574,CALML3,ENSG00000178363,http://www.wikidata.org/entity/Q21111861,Calmodulin like 3
http://www.wikidata.org/entity/Q17859723,CDC25A,ENSG00000164045,http://www.wikidata.org/entity/Q21109233,Cell division cycle 25A
http://www.wikidata.org/entity/Q17861193,CEL,ENSG00000170835,http://www.wikidata.org/entity/Q21108361,Carboxyl ester lipase
http://www.wikidata.org/entity/Q17861547,CEACAM7,ENSG00000280501,http://www.wikidata.org/entity/Q21132938,CEA cell adhesion molecule 7
http://www.wikidata.org/entity/Q17861547,CEACAM7,ENSG00000280501,http://www.wikidata.org/entity/Q21136999,Carcinoembryonic antigen-related cell adhesion molecule 7
http://www.wikidata.org/entity/Q17862091,CLCNKA,ENSG00000186510,http://www.wikidata.org/entity/Q21100810,Chloride voltage-gated channel Ka
http://www.wikidata.org/entity/Q17862108,CLCNKB,ENSG00000184908,http://www.wikidata.org/entity/Q21132789,Chloride voltage-gated channel Kb
http://www.wikidata.org/entity/Q17907803,CCR1,ENSG00000163823,http://www.wikidata.org/entity/Q21111916,C-C motif chemokine receptor 1
http://www.wikidata.org/entity/Q17909191,CPT1B,ENSG00000205560,http://www.wikidata.org/entity/Q21110591,Carnitine palmitoyltransferase 1B
http://www.wikidata.org/entity/Q17909191,CPT1B,ENSG00000205560,http://www.wikidata.org/entity/Q21148836,"Carnitine O-palmitoyltransferase 1, muscle isoform"
http://www.wikidata.org/entity/Q17910294,CRYGC,ENSG00000285011,http://www.wikidata.org/entity/Q21110766,Crystallin gamma C
http://www.wikidata.org/entity/Q17910994,CST1,ENSG00000170373,http://www.wikidata.org/entity/Q21109994,Cystatin SN
http://www.wikidata.org/entity/Q17913823,DMXL1,ENSG00000172869,http://www.wikidata.org/entity/Q21117514,Dmx like 1
http://www.wikidata.org/entity/Q17915104,DUSP8,ENSG00000184545,http://www.wikidata.org/entity/Q21107155,Dual specificity phosphatase 8
http://www.wikidata.org/entity/Q17915104,DUSP8,ENSG00000273793,http://www.wikidata.org/entity/Q21107155,Dual specificity phosphatase 8
http://www.wikidata.org/entity/Q17915104,DUSP8,ENSG00000278165,http://www.wikidata.org/entity/Q21107155,Dual specificity phosphatase 8
http://www.wikidata.org/entity/Q17916076,EGR3,ENSG00000179388,http://www.wikidata.org/entity/Q21110116,Early growth response 3
http://www.wikidata.org/entity/Q17918420,F2R,ENSG00000181104,http://www.wikidata.org/entity/Q21106737,Coagulation factor II thrombin receptor
http://www.wikidata.org/entity/Q17928632,FOXG1,ENSG00000176165,http://www.wikidata.org/entity/Q21101486,Forkhead box G1
http://www.wikidata.org/entity/Q17928791,FOXS1,ENSG00000179772,http://www.wikidata.org/entity/Q21115909,Forkhead box S1
http://www.wikidata.org/entity/Q18016416,ADSS2,ENSG00000035687,http://www.wikidata.org/entity/Q21122604,Adenylosuccinate synthase 2
http://www.wikidata.org/entity/Q18024764,FUCA2,ENSG00000001036,http://www.wikidata.org/entity/Q21107524,Alpha-L-fucosidase 2
http://www.wikidata.org/entity/Q18024764,FUCA2,ENSG00000001036,http://www.wikidata.org/entity/Q21147536,Plasma alpha-L-fucosidase
http://www.wikidata.org/entity/Q18027351,HSPA5,ENSG00000044574,http://www.wikidata.org/entity/Q21116494,Heat shock protein family A (Hsp70) member 5
http://www.wikidata.org/entity/Q18027940,INPP4A,ENSG00000040933,http://www.wikidata.org/entity/Q21103425,Inositol polyphosphate-4-phosphatase type I A
http://www.wikidata.org/entity/Q18029965,NDUFS1,ENSG00000023228,http://www.wikidata.org/entity/Q21109055,NADH:ubiquinone oxidoreductase core subunit S1
http://www.wikidata.org/entity/Q18030657,POLR2J,ENSG00000005075,http://www.wikidata.org/entity/Q21127098,RNA polymerase II subunit J
http://www.wikidata.org/entity/Q18030825,PRSS3,ENSG00000010438,http://www.wikidata.org/entity/Q21125508,Serine protease 3
http://www.wikidata.org/entity/Q18030825,PRSS3,ENSG00000010438,http://www.wikidata.org/entity/Q21149819,Trypsin-3
http://www.wikidata.org/entity/Q18030898,PTGER3,ENSG00000050628,http://www.wikidata.org/entity/Q21120423,Prostaglandin E receptor 3
http://www.wikidata.org/entity/Q18031025,RALA,ENSG00000006451,http://www.wikidata.org/entity/Q21114964,RAS like proto-oncogene A
http://www.wikidata.org/entity/Q18031025,RALA,ENSG00000006451,http://www.wikidata.org/entity/Q21151215,Ras-related protein Ral-A
http://www.wikidata.org/entity/Q18031052,ARID4A,ENSG00000032219,http://www.wikidata.org/entity/Q21101926,AT-rich interaction domain 4A
http://www.wikidata.org/entity/Q18031084,RECQL,ENSG00000004700,http://www.wikidata.org/entity/Q21111095,RecQ like helicase
http://www.wikidata.org/entity/Q18031084,RECQL,ENSG00000004700,http://www.wikidata.org/entity/Q21139154,ATP-dependent DNA helicase Q1
http://www.wikidata.org/entity/Q18031369,ACSM3,ENSG00000005187,http://www.wikidata.org/entity/Q21106357,Acyl-CoA synthetase medium chain family member 3
http://www.wikidata.org/entity/Q18031369,ACSM3,ENSG00000005187,http://www.wikidata.org/entity/Q21137904,"Acyl-coenzyme A synthetase ACSM3, mitochondrial"
http://www.wikidata.org/entity/Q18031498,ST3GAL1,ENSG00000008513,http://www.wikidata.org/entity/Q21136020,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
http://www.wikidata.org/entity/Q18031616,SNAPC1,ENSG00000023608,http://www.wikidata.org/entity/Q21127240,Small nuclear RNA activating complex polypeptide 1
http://www.wikidata.org/entity/Q18031808,SYPL1,ENSG00000008282,http://www.wikidata.org/entity/Q21135766,Synaptophysin like 1
http://www.wikidata.org/entity/Q18031813,TAC1,ENSG00000006128,http://www.wikidata.org/entity/Q408566,neurokinin A
http://www.wikidata.org/entity/Q18031813,TAC1,ENSG00000006128,http://www.wikidata.org/entity/Q411041,substance P
http://www.wikidata.org/entity/Q18031813,TAC1,ENSG00000006128,http://www.wikidata.org/entity/Q21123080,Tachykinin precursor 1
http://www.wikidata.org/entity/Q18031813,TAC1,ENSG00000006128,http://www.wikidata.org/entity/Q25323978,Neuropeptide K
http://www.wikidata.org/entity/Q18031813,TAC1,ENSG00000006128,http://www.wikidata.org/entity/Q66366696,neuropeptide gamma
http://www.wikidata.org/entity/Q18031953,TFAP2B,ENSG00000008196,http://www.wikidata.org/entity/Q21202951,Transcription factor AP-2 beta
http://www.wikidata.org/entity/Q18032013,SEC62,ENSG00000008952,http://www.wikidata.org/entity/Q21127157,"SEC62 homolog, preprotein translocation factor"
http://www.wikidata.org/entity/Q18032094,TRAF1,ENSG00000056558,http://www.wikidata.org/entity/Q21154542,TNF receptor associated factor 1
http://www.wikidata.org/entity/Q18032539,ZNF207,ENSG00000010244,http://www.wikidata.org/entity/Q21136839,Zinc finger protein 207
http://www.wikidata.org/entity/Q18032539,ZNF207,ENSG00000010244,http://www.wikidata.org/entity/Q21138704,BUB3-interacting and GLEBS motif-containing protein ZNF207
http://www.wikidata.org/entity/Q18032931,NSMAF,ENSG00000035681,http://www.wikidata.org/entity/Q21096448,Neutral sphingomyelinase activation associated factor
http://www.wikidata.org/entity/Q18032971,OFD1,ENSG00000046651,http://www.wikidata.org/entity/Q21118898,OFD1 centriole and centriolar satellite protein
http://www.wikidata.org/entity/Q18033938,CRLF1,ENSG00000006016,http://www.wikidata.org/entity/Q21130074,Cytokine receptor like factor 1
http://www.wikidata.org/entity/Q18034014,VAMP3,ENSG00000049245,http://www.wikidata.org/entity/Q21131168,Vesicle associated membrane protein 3
http://www.wikidata.org/entity/Q18034014,VAMP3,ENSG00000049245,http://www.wikidata.org/entity/Q21149405,VAMP3 protein
http://www.wikidata.org/entity/Q18034345,TBPL1,ENSG00000028839,http://www.wikidata.org/entity/Q21127343,TATA-box binding protein like 1
http://www.wikidata.org/entity/Q18034345,TBPL1,ENSG00000028839,http://www.wikidata.org/entity/Q21151888,TATA box-binding protein-like protein 1
http://www.wikidata.org/entity/Q18034412,RNF14,ENSG00000013561,http://www.wikidata.org/entity/Q21097359,Ring finger protein 14
http://www.wikidata.org/entity/Q18034412,RNF14,ENSG00000013561,http://www.wikidata.org/entity/Q21117867,E3 ubiquitin-protein ligase RNF14
http://www.wikidata.org/entity/Q18034661,BCLAF1,ENSG00000029363,http://www.wikidata.org/entity/Q21113908,BCL2 associated transcription factor 1
http://www.wikidata.org/entity/Q18034661,BCLAF1,ENSG00000029363,http://www.wikidata.org/entity/Q21139717,Bcl-2-associated transcription factor 1
http://www.wikidata.org/entity/Q18034795,ZC3H11A,ENSG00000058673,http://www.wikidata.org/entity/Q21202020,Zinc finger CCCH-type containing 11A
http://www.wikidata.org/entity/Q18034994,ABCF2,ENSG00000033050,http://www.wikidata.org/entity/Q21113682,ABCF2-H2BE1 readthrough
http://www.wikidata.org/entity/Q18035100,RBM5,ENSG00000003756,http://www.wikidata.org/entity/Q21105767,RNA binding motif protein 5
http://www.wikidata.org/entity/Q18035100,RBM5,ENSG00000003756,http://www.wikidata.org/entity/Q21150213,RNA-binding protein 5
http://www.wikidata.org/entity/Q18035968,MSL3,ENSG00000005302,http://www.wikidata.org/entity/Q21173745,MSL complex subunit 3
http://www.wikidata.org/entity/Q18036090,SOX30,ENSG00000039600,http://www.wikidata.org/entity/Q21100652,SRY-box transcription factor 30
http://www.wikidata.org/entity/Q18036673,PHLPP2,ENSG00000040199,http://www.wikidata.org/entity/Q21122519,PH domain and leucine rich repeat protein phosphatase 2
http://www.wikidata.org/entity/Q18036723,SARM1,ENSG00000004139,http://www.wikidata.org/entity/Q21122284,SARM1 protein
http://www.wikidata.org/entity/Q18036723,SARM1,ENSG00000004139,http://www.wikidata.org/entity/Q21123867,Sterile alpha and TIR motif containing 1
http://www.wikidata.org/entity/Q18036725,MCF2L2,ENSG00000053524,http://www.wikidata.org/entity/Q21121679,MCF.2 cell line derived transforming sequence-like 2
http://www.wikidata.org/entity/Q18037128,PUM2,ENSG00000055917,http://www.wikidata.org/entity/Q21112120,Pumilio RNA binding family member 2
http://www.wikidata.org/entity/Q18037235,R3HDM1,ENSG00000048991,http://www.wikidata.org/entity/Q21124979,R3H domain containing 1
http://www.wikidata.org/entity/Q18037678,TBC1D22A,ENSG00000054611,http://www.wikidata.org/entity/Q21126502,TBC1 domain family member 22A
http://www.wikidata.org/entity/Q18037769,CHRDL2,ENSG00000054938,http://www.wikidata.org/entity/Q21110797,Chordin like 2
http://www.wikidata.org/entity/Q18037878,TMEM98,ENSG00000006042,http://www.wikidata.org/entity/Q21134656,Transmembrane protein 98
http://www.wikidata.org/entity/Q18037878,TMEM98,ENSG00000006042,http://www.wikidata.org/entity/Q21150468,Transmembrane protein 98
http://www.wikidata.org/entity/Q18038201,TSPAN17,ENSG00000048140,http://www.wikidata.org/entity/Q21126679,Tetraspanin 17
http://www.wikidata.org/entity/Q18038576,STAU2,ENSG00000040341,http://www.wikidata.org/entity/Q21105809,Staufen double-stranded RNA binding protein 2
http://www.wikidata.org/entity/Q18038576,STAU2,ENSG00000040341,http://www.wikidata.org/entity/Q21152248,Double-stranded RNA-binding protein Staufen homolog 2
http://www.wikidata.org/entity/Q18038581,VPS41,ENSG00000006715,http://www.wikidata.org/entity/Q21122712,VPS41 subunit of HOPS complex
http://www.wikidata.org/entity/Q18038581,VPS41,ENSG00000006715,http://www.wikidata.org/entity/Q21140683,Vacuolar protein sorting-associated protein 41 homolog
http://www.wikidata.org/entity/Q18039829,DEF6,ENSG00000023892,http://www.wikidata.org/entity/Q21132723,DEF6 guanine nucleotide exchange factor
http://www.wikidata.org/entity/Q18039944,LAP3,ENSG00000002549,http://www.wikidata.org/entity/Q21097384,Leucine aminopeptidase 3
http://www.wikidata.org/entity/Q18040019,RPL26L1,ENSG00000037241,http://www.wikidata.org/entity/Q21134214,Ribosomal protein L26 like 1
